三七二十一	三七二十一
一共	一共
一个	一个
一下	一下
一些	一些
一起	一起
一会	一会
一路	一路
二维码	二维码
慢一点	慢一点
一般	一般
统一	统一
星期一	星期一
星期二	星期二
星期三	星期三
星期四	星期四
星期五	星期五
星期六	星期六
一百七八	一百七八
一年一度	一年一度
一点一滴	一点一滴
三心二意	三心二意
阳春三月	阳春三月
七嘴八舌	七嘴八舌
四分五裂	四分五裂
七荤八素	七荤八素
三纲五常	三纲五常
三姑六婆	三姑六婆
四大皆空	四大皆空
五体投地	五体投地
六神无主	六神无主
七窍生烟	七窍生烟
七擒七纵	七擒七纵
八仙过海	八仙过海
十恶不赦	十恶不赦
一言九鼎	一言九鼎
一应俱全	一应俱全
一窍不通	一窍不通
一盘散沙	一盘散沙
十全十美	十全十美
一五一十	一五一十
让你三分	让你三分
乱七八糟	乱七八糟
一日三餐	一日三餐
十分高兴	十分高兴
十万八千里	十万八千里
四川	四川
三明	三明
九寨沟	九寨沟
七里河	七里河
九江	九江
六安	六安
十堰	十堰
八公山	八公山
七台河	七台河
五常	五常
四平	四平
四子王旗	四子王旗
三亚	三亚
二连浩特	二连浩特
零陵	零陵
五台山	五台山
六盘水	六盘水
八宿	八宿
十二五	十二五
十三五	十三五
十四五	十四五
几十万	几十万
几百万	几百万
几千万	几千万
十几万	十几万
二十几万	二十几万
三十几万	三十几万
四十几万	四十几万
五十几万	五十几万
六十几万	六十几万
七十几万	七十几万
八十几万	八十几万
九十几万	九十几万
七乘二十四小时	7x24小时
七乘二十四个小时	7x24个小时
四S店	4S店
四s店	4s店
一期	一期
二期	二期
三期	三期
四期	四期
一级	一级
二级	二级
三级	三级
四级	四级
一度	一度
二度	二度
三度	三度
一型	一型
二型	二型
一类	一类
二类	二类
三类	三类
甲类	甲类
乙类	乙类
丙类	丙类
一线	一线
二线	二线
三线	三线
三甲	三甲
三乙	三乙
二甲	二甲
二乙	二乙
一甲	一甲
三甲医院	三甲医院
三乙医院	三乙医院
二甲医院	二甲医院
三叉神经	三叉神经
三尖瓣	三尖瓣
二尖瓣	二尖瓣
十二指肠	十二指肠
十二指肠溃疡	十二指肠溃疡
三高	三高
三伏贴	三伏贴
三九贴	三九贴
一针	一针
两针	两针
三针	三针
一剂	一剂
两剂	两剂
三剂	三剂
一疗程	一疗程
一个疗程	一个疗程
两个疗程	两个疗程
三个疗程	三个疗程
一日一次	一日一次
一日两次	一日两次
一日三次	一日三次
一天一次	一天一次
一天两次	一天两次
一天三次	一天三次
一次一片	一次一片
一次两片	一次两片
一次三片	一次三片
饭前一小时	饭前一小时
饭后一小时	饭后一小时
每隔四小时	每隔四小时
每隔六小时	每隔六小时
每隔八小时	每隔八小时
隔一天	隔一天
隔两天	隔两天
隔三天	隔三天
七天一疗程	七天一疗程
十四天一疗程	十四天一疗程
二十一天一疗程	二十一天一疗程
维生素一	维生素一
维生素二	维生素二
维生素六	维生素六
维生素十二	维生素十二
白细胞三项	白细胞三项
三大常规	三大常规
四项检查	四项检查
五项检查	五项检查
乙肝五项	乙肝五项
凝血四项	凝血四项
肝功五项	肝功五项
肾功三项	肾功三项
血常规三分类	血常规三分类
血常规五分类	血常规五分类
甲功三项	甲功三项
甲功五项	甲功五项
甲功七项	甲功七项
电解质四项	电解质四项
电解质六项	电解质六项
血脂四项	血脂四项
血脂六项	血脂六项
优生四项	优生四项
优生五项	优生五项
肿瘤两项	肿瘤两项
肿瘤三项	肿瘤三项
肿瘤四项	肿瘤四项
肿瘤五项	肿瘤五项
肿瘤六项	肿瘤六项
肿瘤八项	肿瘤八项
肿瘤十二项	肿瘤十二项
过敏原二十项	过敏原二十项
一周后复查	一周后复查
两周后复查	两周后复查
三个月复查	三个月复查
六个月复查	六个月复查
一年复查	一年复查
第一产程	第一产程
第二产程	第二产程
第三产程	第三产程
一胎	一胎
二胎	二胎
三胎	三胎
头胎	头胎
双胎	双胎
三胞胎	三胞胎
单胎	单胎
第一腰椎	第一腰椎
第二腰椎	第二腰椎
第三腰椎	第三腰椎
第四腰椎	第四腰椎
第五腰椎	第五腰椎
第一颈椎	第一颈椎
第二颈椎	第二颈椎
第三颈椎	第三颈椎
第四颈椎	第四颈椎
第五颈椎	第五颈椎
第六颈椎	第六颈椎
第七颈椎	第七颈椎
第一胸椎	第一胸椎
第十二胸椎	第十二胸椎
第一骶椎	第一骶椎
腰一	腰一
腰二	腰二
腰三	腰三
腰四	腰四
腰五	腰五
颈一	颈一
颈二	颈二
颈三	颈三
颈四	颈四
颈五	颈五
颈六	颈六
颈七	颈七
胸一	胸一
胸十二	胸十二
骶一	骶一
腰三横突	腰三横突
腰四横突	腰四横突
腰五骶一	腰五骶一
颈五颈六	颈五颈六
颈六颈七	颈六颈七
一级甲等	一级甲等
一级乙等	一级乙等
二级甲等	二级甲等
二级乙等	二级乙等
三级甲等	三级甲等
三级乙等	三级乙等
低分化	低分化
中分化	中分化
高分化	高分化
中低分化	中低分化
中高分化	中高分化
一级分化	一级分化
二级分化	二级分化
三级分化	三级分化
四级分化	四级分化
一级浸润	一级浸润
二级浸润	二级浸润
三级浸润	三级浸润
一型糖尿病	一型糖尿病
二型糖尿病	二型糖尿病
一类切口	一类切口
二类切口	二类切口
三类切口	三类切口
甲级愈合	甲级愈合
乙级愈合	乙级愈合
丙级愈合	丙级愈合
零级	零级
一度房室传导阻滞	一度房室传导阻滞
二度房室传导阻滞	二度房室传导阻滞
三度房室传导阻滞	三度房室传导阻滞
一度烧伤	一度烧伤
二度烧伤	二度烧伤
三度烧伤	三度烧伤
浅二度	浅二度
深二度	深二度
一类抗原	一类抗原
二类抗原	二类抗原
一区	一区
二区	二区
三区	三区
四区	四区
五区	五区
六区	六区
七区	七区
八区	八区
九区	九区
一段	一段
二段	二段
三段	三段
四段	四段
五段	五段
六段	六段
七段	七段
八段	八段
第一肝门	第一肝门
第二肝门	第二肝门
第三肝门	第三肝门
肝一段	肝一段
肝二段	肝二段
肝三段	肝三段
肝四段	肝四段
肝五段	肝五段
肝六段	肝六段
肝七段	肝七段
肝八段	肝八段
肺一区	肺一区
肺二区	肺二区
肺三区	肺三区
左一	左一
左二	左二
左三	左三
右一	右一
右二	右二
右三	右三
双一	双一
双二	双二
双三	双三
单一	单一
单二	单二
单三	单三
第一肋	第一肋
第二肋	第二肋
第三肋	第三肋
第四肋	第四肋
第五肋	第五肋
第六肋	第六肋
第七肋	第七肋
第八肋	第八肋
第九肋	第九肋
第十肋	第十肋
第十一肋	第十一肋
第十二肋	第十二肋
一度反流	一度反流
二度反流	二度反流
三度反流	三度反流
四度反流	四度反流
轻度反流	轻度反流
中度反流	中度反流
重度反流	重度反流
一度狭窄	一度狭窄
二度狭窄	二度狭窄
三度狭窄	三度狭窄
轻度狭窄	轻度狭窄
中度狭窄	中度狭窄
重度狭窄	重度狭窄
一级回声	一级回声
二级回声	二级回声
三级回声	三级回声
零级回声	零级回声
一度肿大	一度肿大
二度肿大	二度肿大
三度肿大	三度肿大
一度脱垂	一度脱垂
二度脱垂	二度脱垂
三度脱垂	三度脱垂
甲状腺一度肿大	甲状腺一度肿大
甲状腺二度肿大	甲状腺二度肿大
甲状腺三度肿大	甲状腺三度肿大
前列腺一度肥大	前列腺一度肥大
前列腺二度肥大	前列腺二度肥大
前列腺三度肥大	前列腺三度肥大
子宫一度脱垂	子宫一度脱垂
子宫二度脱垂	子宫二度脱垂
子宫三度脱垂	子宫三度脱垂
一度宫颈糜烂	一度宫颈糜烂
二度宫颈糜烂	二度宫颈糜烂
三度宫颈糜烂	三度宫颈糜烂
一级钙化	一级钙化
二级钙化	二级钙化
三级钙化	三级钙化
四级钙化	四级钙化
一类钙化	一类钙化
二类钙化	二类钙化
三类钙化	三类钙化
一级淋巴结	一级淋巴结
二级淋巴结	二级淋巴结
三级淋巴结	三级淋巴结
一站淋巴结	一站淋巴结
二站淋巴结	二站淋巴结
三站淋巴结	三站淋巴结
一组淋巴结	一组淋巴结
二组淋巴结	二组淋巴结
三组淋巴结	三组淋巴结
四组淋巴结	四组淋巴结
五组淋巴结	五组淋巴结
六组淋巴结	六组淋巴结
七组淋巴结	七组淋巴结
第一站	第一站
第二站	第二站
第三站	第三站
零类	零类
一类	一类
二类	二类
三类	三类
四类	四类
四A类	四A类
四B类	四B类
四C类	四C类
五类	五类
六类	六类
零级	零级
一级	一级
二级	二级
三级	三级
四级	四级
五级	五级
六级	六级
T一	T一
T二	T二
T三	T三
T四	T四
N零	N零
N一	N一
N二	N二
N三	N三
M零	M零
M一	M一
第一期	第一期
第二期	第二期
第三期	第三期
第四期	第四期
早一期	早一期
晚一期	晚一期
一A期	一A期
一B期	一B期
二A期	二A期
二B期	二B期
三A期	三A期
三B期	三B期
三C期	三C期
四A期	四A期
四B期	四B期
一级强化	一级强化
二级强化	二级强化
三级强化	三级强化
轻度强化	轻度强化
中度强化	中度强化
重度强化	重度强化
明显强化	明显强化
均匀强化	均匀强化
不均匀强化	不均匀强化
环形强化	环形强化
一过性强化	一过性强化
第一时相	第一时相
第二时相	第二时相
第三时相	第三时相
第四时相	第四时相
动脉一期	动脉一期
动脉二期	动脉二期
门脉一期	门脉一期
门脉二期	门脉二期
延迟一期	延迟一期
延迟二期	延迟二期
一度水肿	一度水肿
二度水肿	二度水肿
三度水肿	三度水肿
四度水肿	四度水肿
一度积液	一度积液
二度积液	二度积液
三度积液	三度积液
一度积水	一度积水
二度积水	二度积水
三度积水	三度积水
轻度积液	轻度积液
中度积液	中度积液
重度积液	重度积液
少量积液	少量积液
中量积液	中量积液
大量积液	大量积液
一级骨折	一级骨折
二级骨折	二级骨折
三级骨折	三级骨折
一型骨折	一型骨折
二型骨折	二型骨折
三型骨折	三型骨折
四型骨折	四型骨折
A型骨折	A型骨折
B型骨折	B型骨折
C型骨折	C型骨折
一度骨质疏松	一度骨质疏松
二度骨质疏松	二度骨质疏松
三度骨质疏松	三度骨质疏松
一级骨关节炎	一级骨关节炎
二级骨关节炎	二级骨关节炎
三级骨关节炎	三级骨关节炎
四级骨关节炎	四级骨关节炎
半月板一度损伤	半月板一度损伤
半月板二度损伤	半月板二度损伤
半月板三度损伤	半月板三度损伤
韧带一度损伤	韧带一度损伤
韧带二度损伤	韧带二度损伤
韧带三度损伤	韧带三度损伤
肌腱一度损伤	肌腱一度损伤
肌腱二度损伤	肌腱二度损伤
肌腱三度损伤	肌腱三度损伤
一度脑萎缩	一度脑萎缩
二度脑萎缩	二度脑萎缩
三度脑萎缩	三度脑萎缩
一级脑白质病变	一级脑白质病变
二级脑白质病变	二级脑白质病变
三级脑白质病变	三级脑白质病变
四级脑白质病变	四级脑白质病变
脑室一度扩张	脑室一度扩张
脑室二度扩张	脑室二度扩张
脑室三度扩张	脑室三度扩张
一度脂肪肝	一度脂肪肝
二度脂肪肝	二度脂肪肝
三度脂肪肝	三度脂肪肝
轻度脂肪肝	轻度脂肪肝
中度脂肪肝	中度脂肪肝
重度脂肪肝	重度脂肪肝
肝纤维化一期	肝纤维化一期
肝纤维化二期	肝纤维化二期
肝纤维化三期	肝纤维化三期
肝纤维化四期	肝纤维化四期
肝硬化一期	肝硬化一期
肝硬化二期	肝硬化二期
肝硬化三期	肝硬化三期
肾囊肿一级	肾囊肿一级
肾囊肿二级	肾囊肿二级
肾囊肿三级	肾囊肿三级
肾囊肿四级	肾囊肿四级
肾积水一度	肾积水一度
肾积水二度	肾积水二度
肾积水三度	肾积水三度
输尿管一度扩张	输尿管一度扩张
输尿管二度扩张	输尿管二度扩张
输尿管三度扩张	输尿管三度扩张
胆管一度扩张	胆管一度扩张
胆管二度扩张	胆管二度扩张
胆管三度扩张	胆管三度扩张
胰管一度扩张	胰管一度扩张
胰管二度扩张	胰管二度扩张
胰管三度扩张	胰管三度扩张
一度粘连	一度粘连
二度粘连	二度粘连
三度粘连	三度粘连
轻度粘连	轻度粘连
中度粘连	中度粘连
重度粘连	重度粘连
一度梗阻	一度梗阻
二度梗阻	二度梗阻
三度梗阻	三度梗阻
完全梗阻	完全梗阻
不完全梗阻	不完全梗阻
